bs,adj_bs_i_0,adj_bs_i_1,adj_bs_i_2,adj_bs_i_3,adj_bs_i_4,adj_bs_i_5,adj_bs_i_6
597,11012,6983,2518,5991,506,8724,6736
598,5201,8493,10307,4853,7489,2828,290
599,7426,10867,2521,4971,11230,2829,6632
600,9928,6042,7322,294,5196,2519,9942
601,7560,6722,12250,7866,7089,4279,4237
602,4731,9419,7015,6232,10306,11210,7862
603,6241,8721,8770,2685,1739,6232,7669
604,2371,10307,11586,4237,12250,285,5201
605,6290,8841,3602,12797,6145,3189,7647
606,3188,3013,7804,11586,1743,8052,6493
607,8480,2369,6494,11570,8481,9987,292
608,7322,6042,287,9928,5196,2147,2519
609,7437,5347,7644,7784,7785,6257,1740
610,1323,2366,11946,8207,10573,2546,8482
611,294,6494,2369,11570,292,6290,7575
612,9987,6581,11570,5095,6968,4719,6548
613,2546,7220,2366,10548,10872,8480,1323
614,6736,506,6874,5991,11012,6983,3295
615,7845,8724,2518,7854,1773,6983,11012
616,4853,5201,285,2828,10607,11210,7489
617,3109,6476,3714,9342,7100,2682,9113
763,7548,3758,12530,2831,7016,7260,7185
764,6982,6981,856,9237,6960,9060,3927
771,4808,5148,7467,11644,5436,2711,5363
774,9468,7887,9475,785,6693,5136,12120
776,5923,3951,3691,4270,1457,3769,10471
777,3690,1451,9437,11597,10715,3191,781
778,7366,400,11028,6751,2527,1801,9473
780,4451,4277,12018,3744,9973,7314,3576
781,1450,7611,5290,4076,8796,9437,1451
782,10475,6792,2376,6586,7740,12681,2526
783,397,1801,6924,7366,11028,12951,6751
784,6585,402,3301,8013,3765,1745,2377
785,9469,3301,1745,6585,402,6414,8013
786,1758,7329,8982,5714,12745,1881,7002
789,7460,11294,7756,6637,9467,4550,11596
791,7664,6888,5713,4077,8612,5929,6061
792,7094,4077,7600,11030,5356,4875,6061
793,7604,7964,7549,9937,9072,6699,4875
824,12694,7488,1797,3788,7120,9487,1794
825,6027,4078,5640,412,12688,9373,11250
826,6847,413,6715,2139,5544,2853,4552
827,7498,3773,7763,2531,3681,7834,7356
828,410,10318,12688,7774,10427,6027,4241
829,6715,4552,6512,6847,2139,5544,411
830,8245,9522,9524,6512,4552,2139,6639
831,11033,553,8610,7093,4241,10427,11233
832,7110,7398,11233,7337,11033,3787,4241
833,8103,1291,10874,1747,4504,6295,4923
834,12512,2532,7215,7166,1749,10609,11453
835,7093,2203,8600,553,11033,12959,11381
836,6603,5153,7623,7274,9774,8382,7134
853,5929,5713,6061,3692,6335,4077,406
856,8181,11567,7960,6361,7660,280,3182
857,8345,9313,9909,7192,7839,279,9911
940,6654,6652,9943,1300,12125,6889,6655
943,11045,1297,8652,6654,12125,6652,12550
944,5080,5353,5177,8874,4597,1063,3791
955,3099,7672,7599,2155,2872,2152,7229
956,10567,1760,7857,7002,5546,4924,1305
957,7393,6062,6055,6030,12441,2870,6992
958,2154,2156,6929,5464,10569,5142,6996
959,3422,1309,12297,1311,2871,5563,4555
961,3424,4972,7755,2537,10548,4362,7220
962,10876,5737,777,6466,2151,7861,8066
1007,3101,4275,2697,6613,6517,1316,2187
1008,6681,3711,6610,6709,7732,6588,487
1009,3711,2188,3453,487,12016,6610,6662
1010,1317,7299,7602,6725,6499,7745,9492
1011,9492,7602,10094,1768,9491,5892,1317
