bs,adj_bs_i_0,adj_bs_i_1,adj_bs_i_2,adj_bs_i_3,adj_bs_i_4,adj_bs_i_5,adj_bs_i_6
49,49.53824774132643,68.93361024861096,79.4482035633075,83.6629788811957,85.83392259025923,88.78559763151462,90.21168718276942
50,46.8393558615675,57.732857310520885,61.19589012747414,70.87436105066398,73.27226347360691,92.90846571476085,95.64813951829412
51,13.643745667464003,42.34267344700752,43.38743430549464,49.96847030060829,62.98855818819069,71.07320059691241,76.95953075076349
52,16.891598582172445,76.81704368078925,79.31725664389063,80.9103912727725,95.9918149699542,115.46383772753407,120.42212704986486
53,21.241566121837767,37.487672163068645,57.93805136711404,63.856197364057564,65.40973654466225,83.1986372083964,92.76050803162859
54,41.31210613302392,49.96847030060829,60.83379126453166,83.95409877062625,84.2576976416143,86.1275057993303,88.61043328927481
55,55.30524570546599,65.27547320424439,65.32252032003572,65.3332628924026,78.45776172649362,109.88611868231649,111.98908927849612
56,52.90338448159428,76.23298513667571,89.89434322364993,97.68249048902892,107.12356598311447,112.64101776200276,121.02840183386908
57,43.38570538317172,68.62358304199765,69.45930254958793,78.51221601429039,81.79025455028415,82.10865843190766,93.04373723997261
58,11.893093384419581,55.251136689414224,68.36258233666436,80.74779395614559,125.53425448576772,134.15559920400665,134.87218730366212
59,12.122256594522904,23.45018206228156,31.293628999856985,63.92342857723796,71.5628070330069,83.99667239510461,100.89865123717907
60,20.344500080642835,35.40532909676316,36.242964263920996,74.07553378132248,78.90490643003812,113.7511158871055,113.89454667089745
61,62.32874894407219,94.89971631977541,110.09571316092743,111.07970487104447,116.3284219823817,123.01488083796214,124.380945802066
62,11.776262129959951,53.46101903805503,53.67056799228379,53.87482026913825,73.40655603208833,85.49999472958196,86.29004708802165
63,48.48979440668907,60.68945098167135,61.418078918906964,84.46765643878273,85.22190353405233,86.07510008107637,88.28124379081896
64,30.64661426175172,34.55971089856614,37.438838887131205,48.295873171666734,57.10596140570584,67.44746773109121,85.5914801283671
65,27.850591030128697,37.950707134098096,37.95183642653307,44.435481580382465,48.79391114979284,63.728299412500256,65.17116213570486
66,66.23537015577458,66.42227448597458,67.13262586307856,67.65326787038708,68.10714500169952,68.2043091839511,73.15790747632292
67,68.06434521607137,101.88219208446992,107.90426107605049,118.94569555836614,122.69878712582528,133.45354105616693,160.61978967844163
68,12.002318084802516,37.02104169644614,63.487768570927294,69.0525319396784,74.74804159529435,76.20335402510074,79.42698970636384
69,34.54258971222227,80.85728000307935,95.03686482313435,116.50836912360901,129.6856871536196,138.1476075456426,161.4885590413174
134,191.46500961601865,228.87978491356887,230.75623233570832,247.76351516441022,420.5516405439944,448.38192687546194,468.63727043116137
149,25.245499112877884,60.509256758498424,133.14691040894863,134.57810542520545,150.2852736427261,157.6658215891228,162.30101045342894
150,25.245499112877884,40.32935462368813,138.00368013270753,138.50757754296086,153.4802613405726,159.60885871853083,174.98505020460357
151,31.360871927261947,56.52879737333968,85.17475012698358,90.93752008234823,116.65914521983214,121.82663319577512,122.43374816571314
152,17.664986525737177,51.071712136620725,64.05353735939279,85.69010480148232,93.4226157487851,99.11885645155876,99.74724834468739
153,30.406523430879176,57.54510534568226,109.11484173332315,127.17572804047083,135.10089268649295,148.58225948940444,173.0224117084751
